mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
7	6	31/2	31/2	3.0	0	0	Chord	6/8	1	2	3/4			1/2	3/2	23											
7	6	31/2	31/2	3.0	0	0	Chord	6/8	2	1	3/4			1/2	3/2	24											
8	7	37/2	37/2	0.0	0	0	Spanner	6/8	1	1	0														3		1
8	7	37/2	37/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	25									3		1
8	7	19	19	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	26									3		1
8	7	20	20	0.0	3/8	3/8	Spanner	6/8	1	1	0																
8	7	20	20	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	27											
8	7	37/2	37/2	1.5	0	0	Chord	6/8	1	2	3/8			1/4	3/2	28											
8	7	20	20	0.5	3/8	3/8	Chord	6/8	1	2	1/8			1/8	1	29											
8	7	37/2	37/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	30											
8	7	20	20	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	31											
9	8	45/2	45/2	0.0	1/4	1/4	Spanner	6/8	1	1	0															2	
9	8	45/2	45/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	32									4	2	
9	8	23	23	1.5	3/8	3/8	Chord	6/8	1	1	3/8			1/4	3/2	33									4	2	
10	9	49/2	49/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	34									4	2	
10	9	25	25	0.0	1/8	1/8	StaffText	6/8	1	1	0								"<font size=""9.3787""/><font face=""Plantin MT Std""/><i>cresc.</i>"						4	2	
10	9	25	25	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	35									4	2	
10	9	26	26	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	36									4	2	
10	9	53/2	53/2	0.0	1/2	1/2	Spanner	6/8	1	1	0																
10	9	53/2	53/2	1.0	1/2	1/2	Chord	6/8	1	1	1/4			1/4	1	37											
11	10	55/2	55/2	0.0	0	0	Dynamic	6/8	1	1	0						sf										
11	10	55/2	55/2	0.0	0	0	Spanner	6/8	1	1	0																
11	10	55/2	55/2	0.0	0	0	Spanner	6/8	1	1	0																
11	10	55/2	55/2	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	38		articAccentAbove									
11	10	29	29	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	39											
11	10	59/2	59/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	40											
11	10	30	30	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	41											
11	10	55/2	55/2	3.0	0	0	Chord	6/8	1	2	3/4			1/2	3/2	42									5		
11	10	55/2	55/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	43											
11	10	29	29	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	44											
11	10	30	30	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	45											
11	10	55/2	55/2	3.0	0	0	Chord	6/8	2	2	3/4			1/2	3/2	46											
12	11	61/2	61/2	0.0	0	0	Dynamic	6/8	1	1	0						p										
12	11	61/2	61/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	47											
12	11	31	31	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	48											
12	11	32	32	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	49											
12	11	61/2	61/2	1.5	0	0	Chord	6/8	1	2	3/8			1/4	3/2	50											
12	11	32	32	0.5	3/8	3/8	Chord	6/8	1	2	1/8			1/8	1	51											
12	11	61/2	61/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	52											
12	11	32	32	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	53											
13	12	67/2	67/2	0.0	0	0	Dynamic	6/8	1	1	0						p										
13	12	67/2	67/2	0.0	0	0	Spanner	6/8	1	1	0																
13	12	67/2	67/2	0.0	0	0	Spanner	6/8	1	1	0																
13	12	67/2	67/2	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	54											
13	12	35	35	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	55											
13	12	71/2	71/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	56											
13	12	36	36	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	57											
13	12	67/2	67/2	3.0	0	0	Chord	6/8	1	2	3/4			1/2	3/2	58											
13	12	67/2	67/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	59											
13	12	35	35	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	60											
13	12	36	36	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	61											
13	12	67/2	67/2	3.0	0	0	Chord	6/8	2	2	3/4			1/2	3/2	62											
14	13	73/2	73/2	0.0	0	0	Spanner	6/8	1	1	0																2
14	13	73/2	73/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	63											2
14	13	37	37	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	64											2
14	13	38	38	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	65											2
14	13	77/2	77/2	0.0	1/2	1/2	Spanner	6/8	1	1	0																
14	13	73/2	73/2	1.5	0	0	Chord	6/8	1	2	3/8			1/4	3/2	66											
14	13	38	38	0.5	3/8	3/8	Chord	6/8	1	2	1/8			1/8	1	67											
14	13	73/2	73/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	68											
14	13	38	38	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	69											
14	13	73/2	73/2	1.5	0	0	Chord	6/8	2	2	3/8			1/4	3/2	70											
14	13	38	38	0.5	3/8	3/8	Chord	6/8	2	2	1/8			1/8	1	71											
15	14	79/2	79/2	0.0	0	0	Dynamic	6/8	1	1	0						pp										
15	14	79/2	79/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	72									6		
15	14	40	40	0.0	1/8	1/8	Spanner	6/8	1	1	0															3	
15	14	40	40	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	73										3	
15	14	41	41	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	74										3	
15	14	83/2	83/2	0.0	1/2	1/2	Spanner	6/8	1	1	0																
15	14	79/2	79/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	75											
15	14	40	40	1.0	1/8	1/8	Chord	6/8	2	1	1/4			1/4	1	76											
15	14	41	41	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	77											
16	15	85/2	85/2	0.0	0	0	Spanner	6/8	1	1	0															4	
16	15	85/2	85/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	78									7	4	
16	15	43	43	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	79										4	
16	15	44	44	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	80										4	
16	15	89/2	89/2	0.0	1/2	1/2	Spanner	6/8	1	1	0																
17	16	91/2	91/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	81									8		
17	16	46	46	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	82									8		
17	16	47	47	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	83									8		
17	16	95/2	95/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	84									8		
17	16	48	48	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	85											
17	16	91/2	91/2	0.0	0	0	Dynamic	6/8	2	1	0						sf										
17	16	91/2	91/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	86											
17	16	47	47	0.0	3/8	3/8	Dynamic	6/8	2	1	0						f										
17	16	47	47	0.0	3/8	3/8	Dynamic	6/8	2	1	0						ff										
17	16	47	47	1.5	3/8	3/8	Chord	6/8	2	1	3/8			1/4	3/2	87											
18	17	97/2	97/2	0.0	0	0	Spanner	6/8	1	1	0																3
18	17	97/2	97/2	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	88		articAccentAbove							9		3
18	17	50	50	0.0	3/8	3/8	Dynamic	6/8	1	1	0						p										
18	17	50	50	0.0	3/8	3/8	Spanner	6/8	1	1	0																
18	17	50	50	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	89											
18	17	97/2	97/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	90											
18	17	50	50	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	91											
18	17	101/2	101/2	0.0	1/2	1/2	StaffText	6/8	2	1	0								"<font size=""9.3787""/><font face=""Plantin MT Std""/><i>m.d.</i>"								
18	17	101/2	101/2	0.75	1/2	1/2	Chord	6/8	2	1	3/16			1/8	3/2	92											
18	17	205/4	205/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16			1/16	1	93											
18	17	50	50	1.0	3/8	3/8	Chord	6/8	2	2	1/4			1/4	1	94											
19	18	53	53	0.0	3/8	3/8	Spanner	6/8	1	1	0															5	
19	18	53	53	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	95									10	5	
19	18	107/2	107/2	0.75	1/2	1/2	Chord	6/8	1	1	3/16			1/8	3/2	96									10	5	
19	18	217/4	217/4	0.0	11/16	11/16	Spanner	6/8	1	1	0																
19	18	217/4	217/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	97											
19	18	103/2	103/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	98											
19	18	105/2	105/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	99											
19	18	53	53	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	100											
19	18	103/2	103/2	1.0	0	0	Chord	6/8	2	2	1/4			1/4	1	101											
20	19	109/2	109/2	0.0	0	0	Spanner	6/8	1	1	0															6	
20	19	109/2	109/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	102										6	
20	19	55	55	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	103										6	
20	19	56	56	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	104									11	6	
20	19	113/2	113/2	0.75	1/2	1/2	Chord	6/8	1	1	3/16			1/8	3/2	105									11	6	
20	19	229/4	229/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	106										6	
20	19	56	56	1.5	3/8	3/8	Chord	6/8	1	2	3/8			1/4	3/2	107										6	
20	19	109/2	109/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	108											
20	19	56	56	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	109											
20	19	57	57	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	110											
21	20	115/2	115/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	111									12	6	
21	20	58	58	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	112									12	6	
21	20	117/2	117/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	113										6	
21	20	59	59	0.0	3/8	3/8	Dynamic	6/8	1	1	0						f										
21	20	59	59	0.0	3/8	3/8	Spanner	6/8	1	1	0																
21	20	59	59	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	114									13		
21	20	119/2	119/2	0.75	1/2	1/2	Chord	6/8	1	1	3/16			1/8	3/2	115									13		
21	20	241/4	241/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	116											
21	20	59	59	1.0	3/8	3/8	Chord	6/8	1	2	1/4			1/4	1	117											
21	20	115/2	115/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	118											
21	20	117/2	117/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	119											
21	20	59	59	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	120											
22	21	121/2	121/2	0.0	0	0	Spanner	6/8	1	1	0																4
22	21	121/2	121/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	121									14		4
22	21	61	61	0.0	1/8	1/8	StaffText	6/8	1	1	0								"<font size=""9.3787""/><font face=""Plantin MT Std""/><i>dim.</i>"						14		4
22	21	61	61	0.75	1/8	1/8	Chord	6/8	1	1	3/16			1/8	3/2	122									14		4
22	21	247/4	247/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	123									14		4
22	21	62	62	0.0	3/8	3/8	Dynamic	6/8	1	1	0						p								14		
22	21	62	62	0.0	3/8	3/8	Spanner	6/8	1	1	0														14		
22	21	62	62	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	124									14		
22	21	125/2	125/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	125									14		
22	21	253/4	253/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	126									14		
22	21	121/2	121/2	1.0	0	0	Chord	6/8	1	2	1/4			1/4	1	127											
22	21	62	62	1.5	3/8	3/8	Chord	6/8	1	2	3/8			1/4	3/2	128											
22	21	121/2	121/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	129											
22	21	62	62	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	130											
22	21	63	63	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	131											
22	21	62	62	1.5	3/8	3/8	Chord	6/8	2	2	3/8			1/4	3/2	132											
23	22	127/2	127/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	133									14		
23	22	64	64	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	134											
23	22	65	65	0.0	3/8	3/8	Spanner	6/8	1	1	0																
23	22	65	65	0.0	3/8	3/8	Spanner	6/8	1	1	0																
23	22	65	65	0.0	3/8	3/8	Spanner	6/8	1	1	0																5
23	22	65	65	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	135									15		5
23	22	131/2	131/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	136									15		5
23	22	66	66	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	137									15		5
23	22	265/4	265/4	0.0	11/16	11/16	Spanner	6/8	1	1	0																
23	22	265/4	265/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	138											
23	22	127/2	127/2	1.0	0	0	Chord	6/8	1	2	1/4			1/4	1	139											
23	22	129/2	129/2	0.25	1/4	1/4	Chord	6/8	1	2	1/16			1/16	1	140									16		
23	22	259/4	259/4	0.25	5/16	5/16	Chord	6/8	1	2	1/16			1/16	1	141											
23	22	65	65	1.0	3/8	3/8	Chord	6/8	1	2	1/4			1/4	1	142											
23	22	66	66	0.5	5/8	5/8	Chord	6/8	1	2	1/8			1/8	1	143											
23	22	127/2	127/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	144											
23	22	65	65	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	145											
23	22	66	66	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	146											
23	22	127/2	127/2	1.5	0	0	Chord	6/8	2	2	3/8			1/4	3/2	147											
23	22	65	65	1.5	3/8	3/8	Chord	6/8	2	2	3/8			1/4	3/2	148											
24	23	133/2	133/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	149									17		
24	23	67	67	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	150											
24	23	68	68	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	151		articAccentAbove							18		
24	23	137/2	137/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	152		articStaccatoAbove							18		
24	23	275/4	275/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	153		articStaccatoAbove							18		
24	23	69	69	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	154		articStaccatoAbove							18		
24	23	277/4	277/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	155		articStaccatoAbove									
24	23	133/2	133/2	1.0	0	0	Chord	6/8	1	2	1/4			1/4	1	156									19		
24	23	135/2	135/2	0.25	1/4	1/4	Chord	6/8	1	2	1/16			1/16	1	157									19		
24	23	271/4	271/4	0.25	5/16	5/16	Chord	6/8	1	2	1/16			1/16	1	158											
24	23	68	68	1.5	3/8	3/8	Chord	6/8	1	2	3/8			1/4	3/2	159		articStaccatoBelow									
24	23	133/2	133/2	0.0	0	0	Dynamic	6/8	2	1	0						p										
24	23	133/2	133/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	160											
24	23	68	68	0.0	3/8	3/8	StaffText	6/8	2	1	0								"<font size=""9.3787""/><font face=""Plantin MT Std""/><i>cresc.</i>"								
24	23	68	68	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	161											
24	23	69	69	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	162											
24	23	133/2	133/2	1.5	0	0	Chord	6/8	2	2	3/8			1/4	3/2	163											
24	23	68	68	1.5	3/8	3/8	Chord	6/8	2	2	3/8			1/4	3/2	164											
25	24	139/2	139/2	0.25	0	0	Chord	6/8	1	1	1/16			1/16	1	165									20		
25	24	279/4	279/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16			1/16	1	166									20		
25	24	70	70	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	167		articStaccatoAbove							20, 21		
25	24	281/4	281/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	168		articStaccatoAbove							20		
25	24	141/2	141/2	0.375	1/4	1/4	Chord	6/8	1	1	3/32			1/16	3/2	169									20		
25	24	567/8	567/8	0.0	11/32	11/32	Dynamic	6/8	1	1	0						f										
25	24	567/8	567/8	0.125	11/32	11/32	Chord	6/8	1	1	1/32			1/32	1	170											
25	24	71	71	0.0	3/8	3/8	StaffText	6/8	1	1	0								"<font size=""9.3787""/><font face=""Plantin MT Std""/><i>rit.</i>"								
25	24	71	71	0.0	3/8	3/8	Spanner	6/8	1	1	0																6
25	24	71	71	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	171									22		6
25	24	143/2	143/2	1.0	1/2	1/2	Chord	6/8	1	1	1/4			1/4	1	172											6
25	24	289/4	289/4	0.0	11/16	11/16	Spanner	6/8	1	1	0																
25	24	139/2	139/2	1.0	0	0	Chord	6/8	1	2	1/4			1/4	1	173											
25	24	141/2	141/2	0.5	1/4	1/4	Chord	6/8	1	2	1/8			1/8	1	174											
25	24	71	71	0.5	3/8	3/8	Chord	6/8	1	2	1/8			1/8	1	175											
25	24	143/2	143/2	0.75	1/2	1/2	Chord	6/8	1	2	3/16			1/8	3/2	176									23		
25	24	289/4	289/4	0.25	11/16	11/16	Chord	6/8	1	2	1/16			1/16	1	177											
25	24	139/2	139/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	178											
25	24	141/2	141/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	179											
25	24	71	71	1.5	3/8	3/8	Chord	6/8	2	1	3/8			1/4	3/2	180											
26	25	145/2	145/2	0.0	0	0	StaffText	6/8	1	1	0								"<font size=""9.3787""/><font face=""Plantin MT Std""/><i>a tempo</i>"								
26	25	145/2	145/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	181									24		
26	25	73	73	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	182									24		
26	25	74	74	0.0	3/8	3/8	Spanner	6/8	1	1	0														24		7
26	25	74	74	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	183									24		7
26	25	149/2	149/2	0.75	1/2	1/2	Chord	6/8	1	1	3/16			1/8	3/2	184									24		7
26	25	301/4	301/4	0.0	11/16	11/16	Spanner	6/8	1	1	0																
26	25	301/4	301/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	185											
26	25	145/2	145/2	1.5	0	0	Chord	6/8	1	2	3/8			1/4	3/2	186											
26	25	74	74	1.0	3/8	3/8	Chord	6/8	1	2	1/4			1/4	1	187											
26	25	75	75	0.5	5/8	5/8	Chord	6/8	1	2	1/8			1/8	1	188											
26	25	145/2	145/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	189											
26	25	74	74	1.5	3/8	3/8	Chord	6/8	2	1	3/8			1/4	3/2	190											
26	25	145/2	145/2	3.0	0	0	Chord	6/8	2	2	3/4			1/2	3/2	191											
27	26	151/2	151/2	0.0	0	0	Dynamic	6/8	1	1	0						p										
27	26	151/2	151/2	0.0	0	0	Spanner	6/8	1	1	0																
27	26	151/2	151/2	0.0	0	0	Spanner	6/8	1	1	0																
27	26	151/2	151/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	192									25		
27	26	76	76	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	193											
27	26	77	77	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	194											
27	26	155/2	155/2	1.0	1/2	1/2	Chord	6/8	1	1	1/4			1/4	1	195		articAccentAbove									
27	26	151/2	151/2	3.0	0	0	Chord	6/8	1	2	3/4			1/2	3/2	196											
27	26	151/2	151/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	197											
27	26	77	77	1.5	3/8	3/8	Chord	6/8	2	1	3/8			1/4	3/2	198											
27	26	151/2	151/2	1.5	0	0	Chord	6/8	2	2	3/8			1/4	3/2	199											
27	26	77	77	1.5	3/8	3/8	Chord	6/8	2	2	3/8			1/4	3/2	200											
28	27	157/2	157/2	0.0	0	0	StaffText	6/8	1	1	0								"<font size=""9.3787""/><font face=""Plantin MT Std""/><i>dim.</i>"								
28	27	157/2	157/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	201									26		
28	27	79	79	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	202									26		
28	27	80	80	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	203									26		
28	27	161/2	161/2	0.75	1/2	1/2	Chord	6/8	1	1	3/16			1/8	3/2	204									26		
28	27	325/4	325/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	205											
28	27	157/2	157/2	1.5	0	0	Chord	6/8	1	2	3/8			1/4	3/2	206									27		
28	27	80	80	1.0	3/8	3/8	Chord	6/8	1	2	1/4			1/4	1	207									27		
28	27	81	81	0.5	5/8	5/8	Chord	6/8	1	2	1/8			1/8	1	208											
28	27	157/2	157/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	209											
28	27	80	80	1.5	3/8	3/8	Chord	6/8	2	1	3/8			1/4	3/2	210											
28	27	157/2	157/2	3.0	0	0	Chord	6/8	2	2	3/4			1/2	3/2	211											
29	28	163/2	163/2	0.0	0	0	Dynamic	6/8	1	1	0						p										
29	28	163/2	163/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	212									28		
29	28	82	82	0.0	1/8	1/8	StaffText	6/8	1	1	0								"<font size=""9.3787""/><font face=""Plantin MT Std""/><i>cresc.</i>"								
29	28	82	82	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	213											
29	28	83	83	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	214											
29	28	167/2	167/2	1.0	1/2	1/2	Chord	6/8	1	1	1/4			1/4	1	215		articAccentAbove							29		
29	28	163/2	163/2	1.5	0	0	Chord	6/8	1	2	3/8			1/4	3/2	216											
29	28	83	83	0.5	3/8	3/8	Chord	6/8	1	2	1/8			1/8	1	217											
29	28	167/2	167/2	1.0	1/2	1/2	Chord	6/8	1	2	1/4			1/4	1	218											
29	28	163/2	163/2	2.0	0	0	Chord	6/8	1	3	1/2			1/2	1	219											
29	28	163/2	163/2	3.0	0	0	Chord	6/8	2	1	3/4			1/2	3/2	220											
29	28	163/2	163/2	1.5	0	0	Chord	6/8	2	2	3/8			1/4	3/2	221											
29	28	83	83	1.5	3/8	3/8	Chord	6/8	2	2	3/8			1/4	3/2	222											
30	29	169/2	169/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	223									29		
30	29	85	85	0.0	1/8	1/8	Spanner	6/8	1	1	0														29		8
